input,output
Limited time offer. This is a limited time deal and you should act fast. Limited availability. Ref  2508.,spam
"Urgent account alert. This offer expires soon, so take action now. Last chance. Ref  2263.",spam
Free gift waiting. This is a limited time deal and you should act fast. Offer ends very soon. Ref  9864.,spam
Appointment follow-up. The order has been confirmed and details are attached below. Looking  forward to your response. Ref 59702.,normal
"Special deal for you. This offer expires soon, so take action now. Limited availability. Ref  40924.",spam
"Claim your prize now. This offer expires soon, so take action now. Offer ends very soon. Ref  15181.",spam
Appointment follow-up. The meeting is scheduled for tomorrow afternoon in the office. I  appreciate your time. Ref 92210.,normal
Claim your prize now. Your account may be suspended unless you respond now. Do not miss  this opportunity. Ref 30272.,spam
"Congratulations you won. This is a limited time deal and you should act fast. No reply is  needed, act now. Ref 49283.",spam
Weekly schedule. Dinner is planned for Saturday evening at home. I appreciate your time. Ref  82749.,normal
Lunch plan. Please review the file and send your feedback when you are free. Thanks for your  help. Ref 58377.,normal
Family plan. The meeting is scheduled for tomorrow afternoon in the office. Looking forward to  your response. Ref 56855.,normal
Family plan. Please confirm your availability for the appointment. I appreciate your time. Ref  95438.,normal
"Free gift waiting. Your payment failed, update your information right away. Last chance. Ref  11910.",spam
"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. No reply is needed,  act now. Ref 14572.",spam
Meeting reminder. Let us meet after class to discuss the assignment. I appreciate your time.  Ref 51644.,normal
Homework question. Please review the file and send your feedback when you are free. Thanks  for your help. Ref 82301.,normal
"Verify your account today. Your payment failed, update your information right away. Offer ends  very soon. Ref 32233.",spam
Free gift waiting. You have been selected for a special bonus offer. Last chance. Ref  36555.,spam
"Action required immediately. Do not miss this exclusive reward, claim it today. Limited  availability. Ref 7033.",spam
Final notice payment needed. This is a limited time deal and you should act fast. Limited  availability. Ref 46949.,spam
Team discussion. The meeting is scheduled for tomorrow afternoon in the office. Please reply  when convenient. Ref 59640.,normal
Congratulations you won. We detected unusual activity and need verification immediately. Last  chance. Ref 23134.,spam
Weekly schedule. The order has been confirmed and details are attached below. I appreciate  your time. Ref 93646.,normal
Team discussion. The order has been confirmed and details are attached below. Please reply  when convenient. Ref 95426.,normal
Meeting reminder. I completed the task and shared the latest version for review. Thanks for  your help. Ref 65248.,normal
Family plan. Dinner is planned for Saturday evening at home. Thanks for your help. Ref  79905.,normal
"Verify your account today. Your payment failed, update your information right away. Last  chance. Ref 18799.",spam
Family plan. Please confirm your availability for the appointment. Looking forward to your  response. Ref 88709.,normal
Special deal for you. Please confirm your details to receive your prize. Offer ends very soon.  Ref 49533.,spam
"Exclusive bonus inside. We detected unusual activity and need verification immediately. No  reply is needed, act now. Ref 34379.",spam
Weekly schedule. We need to finalize the timeline before Friday. Let me know if anything  changes. Ref 96055.,normal
Limited time offer. Your account may be suspended unless you respond now. Offer ends very  soon. Ref 44272.,spam
Family plan. Here are the notes for this week and the next steps. Please reply when convenient.  Ref 59029.,normal
Lunch plan. Can you check this and reply when convenient? Thanks for your help. Ref  67428.,normal
Exclusive bonus inside. Click the link to claim your reward before it expires. Last chance. Ref  12735.,spam
Family plan. Dinner is planned for Saturday evening at home. Looking forward to your  response. Ref 75171.,normal
Special deal for you. Unlock premium access with this one time opportunity. Last chance. Ref  4966.,spam
"Verify your account today. Your payment failed, update your information right away. No reply is  needed, act now. Ref 32887.",spam
Weekly schedule. Can you check this and reply when convenient? Thanks for your help. Ref  74017.,normal
Weekly schedule. I completed the task and shared the latest version for review. Please reply  when convenient. Ref 82746.,normal
Verify your account today. We detected unusual activity and need verification immediately. Do  not miss this opportunity. Ref 41323.,spam
Project update. Here are the notes for this week and the next steps. Please reply when  convenient. Ref 50121.,normal
Homework question. Here are the notes for this week and the next steps. Let me know if  anything changes. Ref 89285.,normal
Family plan. Here are the notes for this week and the next steps. I appreciate your time. Ref  57374.,normal
Action required immediately. You have been selected for a special bonus offer. Offer ends very  soon. Ref 4529.,spam
Lunch plan. Please confirm your availability for the appointment. I appreciate your time. Ref  73836.,normal
"Exclusive bonus inside. This offer expires soon, so take action now. Last chance. Ref  22113.",spam
Urgent account alert. We detected unusual activity and need verification immediately. Offer  ends very soon. Ref 20494.,spam
Family plan. Can you check this and reply when convenient? Let me know if anything changes.  Ref 85200.,normal
